citations,year,venue,title,link,doi,arxiv_id,paper_id
27,2024,International Conferences on Human,Strengthening LLM Trust Boundaries: A Survey of Prompt Injection Attacks Surender Suresh Kumar Dr. M.L. Cummings Dr. Alexander Stimpson,https://doi.org/10.1109/ichms59971.2024.10555871,10.1109/ichms59971.2024.10555871,,150a1e91b96fdd5b675ce72ee7f4f4b9e301ae04
26,2024,Journal of Software Engineering an,GUARDIAN: A Multi-Tiered Defense Architecture for Thwarting Prompt Injection Attacks on LLMs,https://doi.org/10.4236/jsea.2024.171003,10.4236/jsea.2024.171003,,70069870f883ff3889790b259bbc38d8cfc4f784
24,2025,JAMA Network Open,Vulnerability of Large Language Models to Prompt Injection When Providing Medical Advice,https://doi.org/10.1001/jamanetworkopen.2025.49963,10.1001/jamanetworkopen.2025.49963,,d03a249e16501aa10e6434906cab25cd65048647
16,2024,2024 IEEE Security and Privacy Wor,Defending Language Models Against Image-Based Prompt Attacks via User-Provided Specifications,https://doi.org/10.1109/spw63631.2024.00017,10.1109/spw63631.2024.00017,,b7e425c93a0bfe017098cedecc43760a6f9ef5e8
14,2024,Electronics,Text-Based Prompt Injection Attack Using Mathematical Functions in Modern Large Language Models,https://doi.org/10.3390/electronics13245008,10.3390/electronics13245008,,b48c0b4b75b725f19b16f54d48e6f7f6071bf9d5
12,2024,IEEE Security and Privacy,Large Language Models and Security,https://doi.org/10.1109/msec.2023.3345568,10.1109/msec.2023.3345568,,451a78313fb0d6b4a74507a1a171aa3c9b89c0eb
8,2024,Information and Communication Tech,Protection of LLM Environment Using Prompt Security,https://doi.org/10.1109/ictc62082.2024.10827351,10.1109/ictc62082.2024.10827351,,697bb7f0de245cb50e39dd585ac8c2d033cb51b8
8,2025,International Research Journal of ,Comprehensive Analysis of Machine Learning and Deep Learning models on Prompt Injection Classification using Natural Language Processing techniques,https://doi.org/10.54392/irjmt2523,10.54392/irjmt2523,,c7aaffad5e462c8853450ba7792b9554cb7568bf
8,2024,IEEE International Conference on I,A Framework for Security Testing of Large Language Models,https://doi.org/10.1109/is61756.2024.10705238,10.1109/is61756.2024.10705238,,407b6a1611ecc8b104d8c4af6c7bfd92d179f122
7,2025,2025 International Conference on E,Prompt Injection in Large Language Model Exploitation: A Security Perspective,https://doi.org/10.1109/iceccc65144.2025.11064209,10.1109/iceccc65144.2025.11064209,,c77d0401fcef4b9dcb16e8d8e0f8c688c90abd1d
7,2026,IEEE Access,"A Systematic Review of Prompt Injection Attacks on Large Language Models: Trends, Taxonomy, Evaluation, Defenses, and Opportunities",https://doi.org/10.1109/access.2026.3656849,10.1109/access.2026.3656849,,fae250f21435b2eca9af127a6b85571cbd3cd5bd
6,2025,2025 3rd International Conference ,Prevention of Prompt Injection Attacks Over Financial Applications Integrated with LLM,https://doi.org/10.1109/incacct65424.2025.11011372,10.1109/incacct65424.2025.11011372,,df47bafaccfbd2fd6a24f82abbbf1396e758080d
6,2025,SoutheastCon,Cyberattacks on Large Language Models - Attack Detection and Architecture Adaptability,https://doi.org/10.1109/southeastcon56624.2025.10971722,10.1109/southeastcon56624.2025.10971722,,4ef497f74ae90b475b43d9dafd9ab74357252155
6,2024,International Conference on Softwa,A Methodology for Risk Management of Generative AI based Systems,https://doi.org/10.23919/softcom62040.2024.10721790,10.23919/softcom62040.2024.10721790,,d6377a98b9bea1f3958b3568fbcd816fef9bd73e
4,2024,2024 IEEE 3rd International Confer,Chat GPT and Cyber Risks: Need of Custom Large Language Models,https://doi.org/10.1109/icdds62937.2024.10910783,10.1109/icdds62937.2024.10910783,,b7324677248bb99befa3cd97c2936ae8f2b46f36
3,2025,2025 5th International Conference ,’Ignore All and Accept My Resume’: The Impact of Prompt Injection in Automatic Resume Screening,https://doi.org/10.1109/iraset64571.2025.11008146,10.1109/iraset64571.2025.11008146,,84fd981ed4e397d516f2edb2af3a43d95fb6d407
3,2026,Journal of Cybersecurity and Priva,"Securing the Cognitive Layer: A Survey on Security Threats, Defenses, and Privacy-Preserving Architectures for LLM-IoT Integration",https://doi.org/10.3390/jcp6020063,10.3390/jcp6020063,,2080fa7f8e91a29bdc4b9c804626d754c2c64da7
3,2025,International Conference on Smart ,Privacy-Preserving Prompt Injection Detection for Smart Cloud-Deployed Large Language Models,https://doi.org/10.1109/smartcloud66068.2025.00009,10.1109/smartcloud66068.2025.00009,,646f950f41530e196f83033d21dfaefb27dd7b85
3,2024,2024 IEEE International Conference,Graph-Based Prompt Injection Attacks Against Large Language Models,https://doi.org/10.1109/time-e62724.2024.10919819,10.1109/time-e62724.2024.10919819,,4b6793d43e7527b152ce0700204a8f3f3dee7928
3,2025,ACM Transactions on Software Engin,Bypassing Guardrails: Lessons Learned from Red Teaming ChatGPT,https://doi.org/10.1145/3747288,10.1145/3747288,,98305f738485683b113755182f9d8de4f3e97f96
3,2025,Computer Science Symposium in Russ,A Novel GNN-based Approach for Detection of Prompt Injection Attacks,https://doi.org/10.1109/csr64739.2025.11130138,10.1109/csr64739.2025.11130138,,0a78327b9cc6e3b980e70489d22c96c0d26bca6c
2,2025,2025 International Aegean Conferen,Disrupting Large Language Models with Hidden Prompt Injection Attacks Embedded in HTML Pages,https://doi.org/10.1109/optim-acemp62776.2025.11075247,10.1109/optim-acemp62776.2025.11075247,,7d76841c36a85d550d2211b148d0c593e75f7419
1,2025,Proceedings of the 2025 8th Intern,Threats and Defenses for Large Language Models: A Survey,https://doi.org/10.1145/3773365.3773631,10.1145/3773365.3773631,,60799be7c20380222e3300c5c062fd2140b8f9af
1,2024,Applied Sciences,The Impact of Prompting Techniques on the Security of the LLMs and the Systems to Which They Belong,https://doi.org/10.3390/app14198711,10.3390/app14198711,,aa92c93bfcf901e085e3ce781dd99ec09fa50430
1,2026,IEEE Access,The AI-Cybersecurity Nexus: How Large Language Models are Reshaping Threat Intelligence and Digital Defense,https://doi.org/10.1109/access.2026.3658308,10.1109/access.2026.3658308,,c648165523cedb7b194f48cf8b1e2cd206b6f58e
